,Skills,Pbb
2715,VPI,0
2716,VPN,0
2717,VRRP,0
2718,VSAM,0
2719,VSS,0
2720,VSTS,0
2721,VTP,0
2722,VTS,0
2723,Vulnerability assessment,0
2724,VxWorks,0
2725,W3C,0
2726,WAN,0
2727,WAN optimization,0
2728,WAR,0
2729,Warehouse,0
2730,Warehouse management,0
2731,Waterfall,0
2732,Watir,0
2733,WAVE,0
2734,WCAG,0
2735,WCF,0
2736,WCM,0
2737,WDM,0
2738,Web 2.0,0
2739,Web analytics,0
2740,Web API,0
2741,Web application security,0
2742,Web applications,0
2743,Web content,0
2744,Web content management,0
2745,Web design,0
2746,Web desktop,0
2747,Web development,0
2748,Web parts,0
2749,Web portals,0
2750,Web server,0
2751,Web server administration,0
2752,Web services,0
2753,Web standards,0
2754,Webforms,0
2755,WebGL,0
2756,webMethods,0
2757,WebSocket,0
2758,Weka,0
2759,Welding,0
2760,WF,0
2761,WHCK,0
2762,White-box testing,0
2763,Wiki,0
2764,WildFly,0
2765,WiMAX,0
2766,WINCVS,0
2767,WinDbg,0
2768,Windchill,0
2769,Windows API,0
2770,Windows Client,0
2771,Windows drivers,0
2772,Windows Forms,0
2773,Windows Installer,0
2774,Windows Services,0
2775,WINS,0
2776,wInsight,0
2777,Winsock,0
2778,wIntegrate,0
2779,Wintel,0
2780,WIP,0
2781,Wireframe,0
2782,Wireless,0
2783,Wireless network,0
2784,Wireless security,0
2785,Wireshark,0
2786,WISE,0
2787,WLAN,0
2788,WMS,0
2789,Wonderware,0
2790,WordPress,0
2791,Workflow,0
2792,Workflow management,0
2793,Workflow Manager,1
2794,WPF,0
2795,Wrike,0
2796,Writing,1
2797,WSDL,0
2798,WTL,0
2799,WTT,0
2800,WTX,0
2801,WWAN,0
2802,WWF,0
2803,x86,0
2804,XACML,0
2805,Xamarin,0
2806,XAML,0
2807,XAMPP,0
2808,Xcode,0
2809,XEN,0
2810,XenServer,0
2811,Xilinx,0
2812,XMetaL,0
2813,XML,0
2814,XMLSpy,0
2815,XMPP,0
2816,XPath,0
2817,XQuery,0
2818,XSD,0
2819,XSL,0
2820,XSLT,0
2821,Xtend,0
2822,Yii,0
2823,YouTube,0
2824,YUI,0
2825,Zabbix,0
2826,Zemax,0
2827,ZEN,0
2828,Zend,0
2829,Zenoss,0
2830,ZigBee,0
2831,Zuken,0
2832,C#,0
2833,C++,0
2834,.net,0
2835,C,0
